id,direction,section,verse,type,name_in_text,also_known_as,modern_name,state,deity,significance,nearest_railway_station,how_to_reach,confidence,sources
16,West,Paschima Prabandha (West),V.49-50,Kshetra,Koteshwara Kshetra,Kotilingeshwara,Koteshwara (near Kundapura),Karnataka,Shiva (Kotilingeshwara),"A crore (koti) of sages worshipped Shiva here, so it became Kotee-eshwara, later Koteshwara.",Kundapura (Konkan Railway),"~2 km from Kumbhashi, near Kundapura.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
17,West,Paschima Prabandha (West),V.51-55,Kshetra,Kroda (Sankaranarayana),Krodadri / Krodashrama; Shankaranarayana,Shankaranarayana (Udupi district),Karnataka,Shiva and Vishnu unified (Udbhava linga),"One of the Sapta-Mahakshetras of Parashurama's Tulunadu, on the Shuktimati (Souparnika) river near Koteshwara; the text names it 'Kroda'. A naturally-formed (udbhava) linga sits a foot below ground, with the Shankara linga on the right and the Narayana linga on the left — its modern town is Shankaranarayana.",Kundapura / Barkur,Inland from Kundapura in Udupi district.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
18,West,Paschima Prabandha (West),V.56-57,Kshetra,Kolluru Mookambika Kshetra,Kollur Mookambika,Kollur Mookambika Temple,Karnataka,Mookambika (Shakti),"Devi Shakti descended and slew the demon Mookasura, from which the goddess is named Mookambika.",Byndoor Mookambika Road (Konkan Railway) / Kundapura,~80 km from Udupi at the foot of the Kodachadri hills.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
19,West,Paschima Prabandha (West),V.58,Mountain,Sahyadri,Sahya mountains (Western Ghats),Western Ghats,Karnataka,Mountain tirtha,The Sahyadri range is praised as the sacred mountain-tirtha of the western region.,unknown (range),The ghat ranges paralleling the Karnataka coast.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
20,West,Paschima Prabandha (West),V.59-63,Kshetra,Harihara,Harihareshwara,Harihar (Davanagere district),Karnataka,Harihara — Shiva and Vishnu combined in one idol,On the banks of the Tungabhadra; Hari and Hara are seen together in a single idol in the sanctum.,Harihar,"Harihar town on the Tungabhadra, on the Bengaluru–Hubballi line.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
21,West,Paschima Prabandha (West),V.64-67,Kshetra,Bidarahalli Ashwatha Narayana,Bidarahalli (Ashwattha Narayana),"Bidarahalli, on the Tungabhadra",Karnataka,Narayana (at a sacred ashwattha/peepal tree),The ashwattha-Narayana shrine on the Tungabhadra bank; its blessings are said to equal distant pilgrimages.,unknown,On the Tungabhadra riverbank.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
22,West,Paschima Prabandha (West),V.68,Kshetra,Bidarahalli Someshwara,,"Bidarahalli Someshwara, on the Tungabhadra",Karnataka,Shiva (Someshwara),A Shiva shrine on the Tungabhadra bank praised alongside the Ashwatha Narayana shrine.,unknown,On the Tungabhadra riverbank.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
23,West,Paschima Prabandha (West),V.69,Kshetra,Bankapura Keshava,Bankapur Keshava,Bankapura (Haveri district),Karnataka,Sri Keshava (Krishna),By tradition the Pandavas stayed here after escaping the lac palace and consecrated this Keshava idol.,Haveri,"Bankapura, ~25 km from Haveri.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
24,West,Paschima Prabandha (West),V.70,River,Varada nadee,Varada river,Varada River,Karnataka,River tirtha,Named as a sacred river-tirtha of the region (flows near Banavasi).,Haveri,Flows through Haveri / Uttara Kannada districts near Banavasi.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
25,West,Paschima Prabandha (West),V.71,Kshetra,Banavasi Madhukeshwara,,"Madhukeshwara Temple, Banavasi",Karnataka,Shiva (Madhukeshwara),The very ancient (Kadamba-era) temple at Banavasi.,Haveri (indicative; no rail at Banavasi),~25 km from Sirsi.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
26,West,Paschima Prabandha (West),V.72,River,Dharmaganga nadee,Dharmaganga river,Dharmaganga (Sirsi/Sonda region),Karnataka,River tirtha,Praised as sin-purifying waters.,unknown,Near Sonda / Sirsi.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
27,West,Paschima Prabandha (West),V.73-74,River,Shalmali nadee,Shalmali river,Shalmala River (Sirsi region),Karnataka,River tirtha,Noted for its special (seasonal) properties as a sacred river.,unknown,"Near Sirsi, Uttara Kannada.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
28,West,Paschima Prabandha (West),V.75-76,Kshetra,Sodaa (Sonda) Kshetra,"Sode, Sonda Vadiraja Matha","Sonda (Sode), near Sirsi",Karnataka,Sri Trivikrama (idol brought by Vadiraja); Vadiraja's Brindavana,"Vadiraja's own principal seat, where he installed the Trivikrama idol brought from Badari. The site has a unique three-wheeled stone chariot, one wheel used to defeat a demon during construction.",Kumta (Konkan Railway) / Haveri (indicative),~20 km from Sirsi.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
29,West,Paschima Prabandha (West),V.77-78,Kshetra,Manjuguni Venkatesha,Manjuguni Venkataramana,Manjuguni (near Sirsi),Karnataka,Venkataramana with Padmavathi,The name Manjuguni is said to derive from the thick winter fog covering the place.,Kumta / Gokarna Road (indicative),~26 km from Sirsi.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
30,West,Paschima Prabandha (West),V.79,Kshetra,Yenabhairava (Yana),Yana Bhairaveshwara,"Yana (rock formations), Uttara Kannada",Karnataka,Bhairava (Shiva) — cave/rock shrine,The cave-sanctuary Bhairava shrine among the western tirthas at Yana.,Kumta / Gokarna Road (indicative),"Yana rocks, in the Sahyadri near Kumta/Sirsi.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
31,West,Paschima Prabandha (West),V.80-83,Kshetra,Gokarna Kshetra,Gokarna Mahabaleshwara,Gokarna,Karnataka,Shiva (Atmalinga / Mahabaleshwara),"Ravana carried the Atmalinga and Ganesha tricked him into setting it down permanently, after which Shiva here became Mahabaleshwara.",Gokarna Road (Konkan Railway),~10 km from Gokarna Road station; on the Konkan coast north of Kumta.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
32,West,Paschima Prabandha (West),V.84-85,Kshetra,Kolhapur Mahalakshmi,"Karavira Kshetra, Ambabai",Kolhapur Mahalakshmi Temple,Maharashtra,Mahalakshmi,"The very ancient gemstone idol of Mahalakshmi, who resides at Kolhapur after leaving Vaikuntha over Brihaspati's offence.",Kolhapur (Chhatrapati Shahu Maharaj Terminus),"Kolhapur city, southern Maharashtra.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
33,West,Paschima Prabandha (West),V.86,River,Taapaa nadee (Tapi),Tapti / Tapi river,Tapi River,Maharashtra / Gujarat,River tirtha,Praised as a sin-cleansing river of western India.,unknown (large river),"Crosses Maharashtra/Gujarat, meeting the sea near Surat.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
34,West,Paschima Prabandha (West),V.87,River,Narmada nadee,Narmada / Reva river,Narmada River,Madhya Pradesh / Gujarat,River tirtha (source of Bana-lingas),Glorified as among the holiest rivers of the western circuit.,unknown (large river),Flows across central-western India to the Gulf of Khambhat.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
35,West,Paschima Prabandha (West),V.88-89,Kshetra,Prabhaasa Kshetra,"Prabhasa, Somnath",Somnath,Gujarat,Shiva (Somnath Jyotirlinga),"The site of the first jyotirlinga, where Chandra built a golden temple and installed the glorious Jyotirlinga.",Veraval,~6 km from Veraval on the Saurashtra coast.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
36,West,Paschima Prabandha (West),V.90-97,Tirtha,Banaganga Thirtha,Bhalka / Banaganga (Prabhasa region),"Banaganga Tirtha, near Somnath",Gujarat,Sacred spring tirtha (Krishna's departure),"The spring arose where Krishna, struck in the foot by the hunter Jara's arrow, drew it out — the Bana (arrow) Ganga.",Veraval,Near Somnath / Prabhasa.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
37,West,Paschima Prabandha (West),V.90-97,Kshetra,Dwaraka Krishna,"Dwarakadhisha, Dwaraka",Dwarka,Gujarat,Krishna (Dwarakadhisha),"Krishna's western capital, built after defeating Kushasura, said to have submerged after his avatar's mission.",Dwarka,Dwarka town on the western tip of Saurashtra.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
38,West,Paschima Prabandha (West),V.93-94,River,Gomathi nadee,Gomati river (Dwaraka),"Gomati River, Dwarka",Gujarat,River tirtha,The Gomati merges with the sea at Dwaraka and daily washes the feet of Dwarakanatha.,Dwarka,"At Dwarka, where the river meets the Arabian Sea.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
39,West,Paschima Prabandha (West),V.95-96,Tirtha,Chakra Thirtha,Chakratirtha (Dwaraka region),"Chakra Tirtha, near Dwarka",Gujarat,Sea tirtha (source of chakrankita stones),"Where the Chakra Tirtha merges into the sea, ordinary stones turn into chakrankita stones fit for worship like shaligramas.",Dwarka,Near Dwarka on the coast.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
40,West,Paschima Prabandha (West),V.96-97,Tirtha,Shankoddhara Tirtha,"Shankhoddhara, Bet Dwaraka",Bet Dwarka (Shankhoddhara),Gujarat,Krishna (slaying of demon Panchajanya),This island tirtha is associated with Krishna's victory over the demon Panchajanya (from whom the conch Panchajanya came).,Dwarka (then boat from Okha),"Island off Okha, ~30 km from Dwarka, reached by boat.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
41,West,Paschima Prabandha (West),V.90-97,Tirtha,Gopichandana,Gopi Talav / Gopi Chandana kshetra,"Gopi Talav, near Dwarka",Gujarat,Sacred clay (gopichandana) tirtha,Those who wear the gopichandana clay from here are said to become spiritually powerful and more knowledgeable.,Dwarka,Near Dwarka.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
42,West,Paschima Prabandha (West),V.98,Kshetra,Siddhapuri and Bindusarovara,"Siddhpur, Bindu Sarovar",Siddhpur (Bindu Sarovar),Gujarat,Kapila / Vishnu; sacred lake,"Siddhapuri bestows moksha, and Bindusarovara originates from the compassionate tears of Kapila.",Siddhpur,"Siddhpur town, northern Gujarat.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
43,West,Paschima Prabandha (West),V.99,Tirtha,Theertharaja Pushkara,"Pushkar, Pushkara Tirtharaja",Pushkar,Rajasthan,Vishnu (Varaha) / Brahma; Pushkar lake,"The concluding place of the western section: Vishnu remained here as Varaha after slaying Hiranyaksha, and the lake formed where Brahma's lotus (pushkara) fell, making it a supreme (tirtharaja) pilgrimage site.",Ajmer Junction (Pushkar has a small halt),~11–15 km from Ajmer.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
44,North,Uttara Prabandha (North),V.1-4,River,Krishnaveni nadee,Krishna-Veni; Krishna river,Krishna River (Krishna–Venna confluence),Maharashtra / Karnataka / Andhra Pradesh,Krishna (held present within the river),The Krishnaveni (confluence of Krishna and Veni) removes the sins of crores of births even by mere darshana; the commentary notes the river is treated grammatically as masculine because Lord Krishna Himself is present within it. It opens the Uttara section.,Wai/Satara or Sangli (upper Krishna sangama points),Sacred confluence points along the Krishna in western Maharashtra; reach by road from Satara/Sangli.,high,https://tirthaprabandha.wordpress.com/2017/11/29/krishnaveni-nadee/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
45,North,Uttara Prabandha (North),V.5-8,Kshetra,Pandarapura,Pandharpur; Pundarikapura,Pandharpur,Maharashtra,"Panduranga / Vittala (Vithoba), a form of Vishnu","Vadiraja praises the Vittala icon on the Bhimarathi (Chandrabhaga), reading its posture (hands on the waist, un-adorned) as signifying detachment and assurance of protection from samsara. A punya-kshetra revered by the Haridasa tradition.",Pandharpur (~60 km from Solapur),Rail to Pandharpur/Solapur; road from Solapur and Pune.,high,https://tirthaprabandha.wordpress.com/2017/11/30/pandarapura/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
46,North,Uttara Prabandha (North),V.9-11,River,Godavari nadee,Gautami Ganga; Dakshina Ganga,"Godavari River (source at Trimbak, near Nashik)",Maharashtra (source); flows to Andhra Pradesh,Ganga/Godavari (river goddess); linked to sage Gautama,"Ranked among India's seven great rivers, second only to the Ganga, originating at Tryambaka hill near Nashik from the episode of sage Gautama obtaining Ganga-water to revive a cow; it grants merit and bhakti to Krishna, and liberation.",Nashik Road (for the Trimbak source / Panchavati),Rail to Nashik Road; road to Trimbakeshwar (source) and Panchavati ghats.,high,https://tirthaprabandha.wordpress.com/2017/12/01/godavari-nadee/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
47,North,Uttara Prabandha (North),V.12,River,Yamuna nadee,Kalindi; Yami,Yamuna River,"Delhi / Uttar Pradesh (Mathura, Prayag)",Yamuna Devi (sister of Yama); linked to Krishna's realm,"The Yamuna purifies sinful devotees and, through her affection, ensures her devotees attain Shvetadvipa in the Ocean of Milk rather than any lesser destination.",Mathura Junction / Prayagraj Junction (bathing points),"Reachable at Mathura, Delhi and Prayagraj (Triveni) by rail and road.",high,https://tirthaprabandha.wordpress.com/2017/12/02/yamuna-nadee/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
48,North,Uttara Prabandha (North),V.13-14,Kshetra,Prayaga Kshetra,Triveni Sangama; Tirtharaja,Prayagraj (Allahabad),Uttar Pradesh,Veni Madhava (a form of Vishnu),"The Triveni confluence of Ganga, Yamuna and (subterranean) Saraswati is the supreme tirtha; remembrance of Veni Madhava equals an excellent yaga. The commentary calls the Triveni 'a pair of scissors for heaps of sin.'",Prayagraj Junction,Well connected by rail and air; Triveni Sangama reached by road/boat within the city.,high,https://tirthaprabandha.wordpress.com/2017/12/02/prayaga-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
49,North,Uttara Prabandha (North),V.15-22,River,Ganga nadee,Bhagirathi; Vishnupadi,Ganga (Ganges) River,Uttarakhand / UP / Bihar / West Bengal,Ganga Devi; originates from Vishnu's feet,"The Ganga originates from the foot of Vishnu as Trivikrama, is collected by Brahma, descends onto Rudra's head and reaches earth through Bhagiratha's tapas; flowing through the three worlds, bathing in and devotion to her destroys sin and grants liberation.","Varies (Haridwar, Varanasi, Prayagraj)",Accessible at numerous ghats along its course by rail and road.,high,https://tirthaprabandha.wordpress.com/2017/12/03/ganga-nadee/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
50,North,Uttara Prabandha (North),V.23-26,Kshetra,Kashi Kshetra,Varanasi; Benares; Avimukta Kshetra,Varanasi,Uttar Pradesh,Bindu Madhava (Vishnu) and Vishwanatha (Rudra),"Among the seven moksha-puris, housing Bindu Madhava and Vishwanatha; constantly resolving 'I will go to Kashi' earns merit. The commentary presents Rudra here as a supreme devotee of Vishnu, and Kashi (between the Asi and Varana) as ideal for one's final days.",Varanasi Junction (Varanasi Cantt),Well connected by rail and air; ghats and temples within the city.,high,https://tirthaprabandha.wordpress.com/2017/12/06/kashi-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
51,North,Uttara Prabandha (North),V.27-30,Kshetra,Gaya Kshetra,Vishnupada; Phalgu-tira,Gaya,Bihar,Gadadhara (Vishnu holding the mace); Vishnupada,"Vishnu resides at Gaya as Gadadhara and the Vishnupada marks where the Lord placed His foot on the dharma-stone. Performing shraddha once at Gaya, by the Phalgu, is said to redeem forefathers and negate the karma of many lifetimes.",Gaya Junction,Rail and air (Gaya airport); Vishnupada temple and Phalgu ghats within the city.,high,https://tirthaprabandha.wordpress.com/2017/12/08/gaya-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
52,North,Uttara Prabandha (North),V.31-33,Kshetra,Mathura Kshetra,Madhupuri,Mathura,Uttar Pradesh,Sri Krishna (birthplace / avatara-kshetra),The avatara-kshetra where Krishna was born; good deeds done here destroy sin and the influence of Kali. The commentary pictures the city as guarded by detached devotees as its army and the Lord's name as its fortress.,Mathura Junction,Well connected by rail and road on the Delhi–Agra corridor.,high,https://tirthaprabandha.wordpress.com/2017/12/15/mathura-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
53,North,Uttara Prabandha (North),V.34,Kshetra,Vrundavana,Vrindavan; Brindavan,Vrindavan,Uttar Pradesh,Sri Krishna (childhood leelas with the gopis),"The exceptionally holy forest of Krishna's boyhood sports with the gopis, fragrant and radiant with divine trees; the name is derived from the tapas of Vrunda, daughter of King Kedara.",Mathura Junction (nearest major); Vrindavan town station,Road from Mathura (~12 km); rail via Mathura Junction.,high,https://tirthaprabandha.wordpress.com/2017/12/15/vrundavana/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
54,North,Uttara Prabandha (North),V.35,Kshetra,Ayodhya,Saketa,Ayodhya,Uttar Pradesh,Sri Rama (on the Sarayu river),"'Resplendent like a chaste wife,' one of the seven moksha-puris; even during Rama's exile the city honoured His wooden sandals as His presence. Commentators note Vadiraja visited soon after the 1528 destruction of the Rama temple.",Ayodhya Dham Junction,Rail to Ayodhya/Faizabad; road and air (Ayodhya airport).,high,https://tirthaprabandha.wordpress.com/2017/12/16/ayodhya/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
55,North,Uttara Prabandha (North),V.36,Kshetra,Naimisharanya,Naimisha; Nimsar,Naimisharanya (Nimsar),Uttar Pradesh,Vishnu; site of the sages' sattra,A supreme sacred forest where 'the story of Krishna is like a creeper grown in the hearts of the great rishis' — where Suta narrated the Bhagavata and Puranas to Shaunaka and the assembled sages.,Sandila or Balamau (for Nimsar),Rail to Sandila/Sitapur then road; road from Lucknow (~90 km).,high,https://tirthaprabandha.wordpress.com/2017/12/16/naimisharanya/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
56,North,Uttara Prabandha (North),V.37,Kshetra,Hastinapura,Hastinapuri,Hastinapur (near Meerut),Uttar Pradesh,Celebrated for Pandava dharma/rule,"Its significance rests on the Pandavas' establishment of dharma, especially Bhima's valour defeating the Kaurava forces; the Pandavas ruled 36 years after the war and performed the Ashwamedha yaga.",Meerut City,Road from Meerut (~35 km); nearest rail at Meerut.,high,https://tirthaprabandha.wordpress.com/2017/12/16/hastinapura/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
57,North,Uttara Prabandha (North),V.38,Kshetra,Kurukshetra,Dharmakshetra; Samanta-panchaka,Kurukshetra,Haryana,Battlefield / Gita-sthala,"The battlefield where Bhimasena's mace ground the enemy hosts to pieces — the ground where the Bhagavad Gita and Vishnu Sahasranama were delivered and where Bhishma lay on his bed of arrows; an enduring seat of dharma, renowned for eclipse-time bathing.",Kurukshetra Junction,Rail on the Delhi–Ambala line; road via NH-44.,high,https://tirthaprabandha.wordpress.com/2017/12/16/kurukshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
58,North,Uttara Prabandha (North),V.39,Kshetra,Shambala Kshetra,Sambhala; Sambhal,Sambhal,Uttar Pradesh,Kalki (prophesied final avatar of Vishnu),"The prophesied birthplace of Kalki, 'the one who will destroy the strength of Kali'; pilgrimage here is presented as a means to overcome the corrupting influence of the Kali age.",Chandausi / Sambhal Hatim Sarai,Rail to Chandausi/Sambhal; road from Moradabad.,high,https://tirthaprabandha.wordpress.com/2017/12/16/shambala-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
59,North,Uttara Prabandha (North),V.40,Tirtha,Shat-prayaga,The Six Prayagas,"Prayaga, Vishnuprayag, Devprayag, Rudraprayag, Skandaprayag, Karnaprayag (Alaknanda confluences)",UP / Uttarakhand,Ganga confluences (Vishnu forms at each prayag),"The six prayagas from the main Prayaga up to the Bhima-setu at Badarinath; the commentary makes their turbulent waters a metaphor for uprooting the six inner enemies (kama, krodha, lobha, moha, mada, matsarya) and cleansing sin.",Rishikesh / Haridwar (for the Himalayan prayags),"Rail to Haridwar/Rishikesh, then road along the Alaknanda/Ganga toward Badarinath.",high,https://tirthaprabandha.wordpress.com/2017/12/16/shat-prayaga/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
