take,whisper_heard,best_guess,previous_identified,next_identified,"your_answer (sarga.verse.pada or ""skip"")"
New recording 660.m4a,Ṣarūnā Ṣanā Ṣāstarūnī hī,sarga_11 v37 l2 (score 0.295),take 659 = sarga_11 verse 48 pāda 1,take 663 = sarga_11 verse 49 pāda 1,
New recording 661.m4a,ṣūla-ṭāla yēshūpari rābhyāratim,sarga_11 v48 l2 (score 0.288),take 659 = sarga_11 verse 48 pāda 1,take 663 = sarga_11 verse 49 pāda 1,
New recording 662.m4a,وَدَنْ عَرَ وِنْدَ مَدْحُبَادَ ڈھَتِ,,take 659 = sarga_11 verse 48 pāda 1,take 663 = sarga_11 verse 49 pāda 1,
New recording 664.m4a,Ruta nū purāṇu kruta sārasakāha,sarga_11 v49 l1 (score 0.302),take 663 = sarga_11 verse 49 pāda 1,take 666 = sarga_11 verse 49 pāda 2,
New recording 665.m4a,विहरन्ति साकम अवगाख्य द्हवाएर,sarga_11 v49 l2 (score 0.436),take 663 = sarga_11 verse 49 pāda 1,take 666 = sarga_11 verse 49 pāda 2,
New recording 670.m4a,dada tesakhi karag tam mahi laha,sarga_11 v50 l2 (score 0.447),take 669 = sarga_11 verse 50 pāda 2,take 675 = sarga_11 verse 52 pāda 1,
New recording 671.m4a,jagha naam shukair avayava bhara nahi,sarga_15 v4 l3 (score 0.32),take 669 = sarga_11 verse 50 pāda 2,take 675 = sarga_11 verse 52 pāda 1,
New recording 672.m4a,kucha kungku maishcha ka cha maalya va rahi,sarga_11 v51 l1 (score 0.364),take 669 = sarga_11 verse 50 pāda 2,take 675 = sarga_11 verse 52 pāda 1,
New recording 673.m4a,naya nanaan ja nair api mithob jadrusham,sarga_11 v51 l2 (score 0.474),take 669 = sarga_11 verse 50 pāda 2,take 675 = sarga_11 verse 52 pāda 1,
New recording 674.m4a,"Ὀἀṭἆἆ, ḍἒἀṭἇἒἀṭ, ḀἀṭἊἉἉḀἉἉἉ ŚĭĀ.",,take 669 = sarga_11 verse 50 pāda 2,take 675 = sarga_11 verse 52 pāda 1,
New recording 676.m4a,samamātma nām āsūsa māyir āsa māyī hī hī,sarga_14 v39 l3 (score 0.275),take 675 = sarga_11 verse 52 pāda 1,take 682 = sarga_11 verse 53 pāda 2,
New recording 677.m4a,aṁ rūtāṁ pe bāntya-sūla-bhāṁ bhāve bhihē,sarga_10 v39 l3 (score 0.143),take 675 = sarga_11 verse 52 pāda 1,take 682 = sarga_11 verse 53 pāda 2,
New recording 678.m4a,Ṭhāsha kair māha rajaṭa rathna mayai hi,sarga_11 v3 l2 (score 0.293),take 675 = sarga_11 verse 52 pāda 1,take 682 = sarga_11 verse 53 pāda 2,
New recording 679.m4a,ॐ wetṭāṁ barmāg nārāyaṁ ṏāle .,sarga_12 v25 l1 (score 0.12),take 675 = sarga_11 verse 52 pāda 1,take 682 = sarga_11 verse 53 pāda 2,
New recording 680.m4a,mani mancha manchitha dhrushovasare,sarga_11 v53 l1 (score 0.325),take 675 = sarga_11 verse 52 pāda 1,take 682 = sarga_11 verse 53 pāda 2,
New recording 681.m4a,अपी चो दिता अदे रूहन्तिशा नहीं,sarga_11 v53 l2 (score 0.487),take 675 = sarga_11 verse 52 pāda 1,take 682 = sarga_11 verse 53 pāda 2,
New recording 685.m4a,su mukhi su lakshya bhoja moola wali hi,sarga_11 v54 l2 (score 0.239),take 684 = sarga_11 verse 54 pāda 1,take 686 = sarga_11 verse 54 pāda 2,
New recording 692.m4a,Māni kundalam rudu ka tāksha patu,sarga_11 v56 l1 (score 0.241),take 691 = sarga_11 verse 56 pāda 1,take 694 = sarga_11 verse 56 pāda 2,
New recording 693.m4a,nī bhṛto nī rīkṣya suci rāṁ suṭhāṇo,sarga_9 v31 l4 (score 0.297),take 691 = sarga_11 verse 56 pāda 1,take 694 = sarga_11 verse 56 pāda 2,
New recording 698.m4a,Madhura dharamrutara sampi bata,sarga_11 v57 l2 (score 0.446),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 699.m4a,Ṣūrātot Ṣāvot Ṣukaṭhāyāṭu Ṭhārayan,sarga_10 v24 l1 (score 0.194),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 700.m4a,Karapallavam nivasanagrahanen,sarga_11 v30 l2 (score 0.36),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 701.m4a,कर रुद्धामायत द्रूशा साहसा,sarga_8 v41 l1 (score 0.352),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 702.m4a,twara yat yat had dveguname shtata mahāṁ,sarga_15 v4 l1 (score 0.336),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 703.m4a,रबह सावा पाति तप्रुथोर सेज़फ,sarga_11 v58 l1 (score 0.352),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 704.m4a,pārī rābhya tath kṣana vi ātata rāhaṁ,sarga_10 v48 l2 (score 0.298),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 705.m4a,mani thādi saura tavithāna patū,sarga_11 v58 l2 (score 0.418),take 697 = sarga_11 verse 57 pāda 2,take 706 = sarga_11 verse 58 pāda 2,
New recording 709.m4a,ānū rūpa rūpa mātī lo ka sukham.,sarga_11 v59 l2 (score 0.264),take 708 = sarga_11 verse 59 pāda 1,take 710 = sarga_11 verse 59 pāda 2,
New recording 711.m4a,nārā teśra mā de kha chita nī āmārth,sarga_10 v14 l3 (score 0.187),take 710 = sarga_11 verse 59 pāda 2,take 712 = sarga_11 verse 60 pāda 1,
New recording 714.m4a,na samastha dosha rahite hi padhe,sarga_11 v60 l2 (score 0.472),take 713 = sarga_11 verse 60 pāda 2,take 716 = sarga_11 verse 61 pāda 1,
New recording 715.m4a,sukhasaṁ vidātmākātayāva puṣāṁ,sarga_12 v49 l1 (score 0.197),take 713 = sarga_11 verse 60 pāda 2,take 716 = sarga_11 verse 61 pāda 1,
New recording 717.m4a,Ḥārī dhām ni Ḥāṁ pathī gānā jīyatato,sarga_10 v48 l2 (score 0.243),take 716 = sarga_11 verse 61 pāda 1,take 718 = sarga_11 verse 61 pāda 2,
New recording 723.m4a,Māni rājī rājīta māhaṁukotam,sarga_15 v46 l4 (score 0.183),take 722 = sarga_11 verse 62 pāda 2,take 724 = sarga_11 verse 63 pāda 1,
New recording 728.m4a,Jalla jāyat ākṣa marunāṣṭa putam,sarga_10 v48 l4 (score 0.277),take 727 = sarga_11 verse 64 pāda 1,take 732 = sarga_11 verse 65 pāda 1,
New recording 729.m4a,Ḥas кож�強 Ḥa ๔挑 Ḥa lalˈ tairˈ atu l odds.,sarga_11 v64 l2 (score 0.184),take 727 = sarga_11 verse 64 pāda 1,take 732 = sarga_11 verse 65 pāda 1,
New recording 730.m4a,abhinanda yath pranatha maatma janam,sarga_11 v64 l2 (score 0.482),take 727 = sarga_11 verse 64 pāda 1,take 732 = sarga_11 verse 65 pāda 1,
New recording 731.m4a,Nava kambukantha mahimāṁ shumaho,sarga_11 v65 l1 (score 0.472),take 727 = sarga_11 verse 64 pāda 1,take 732 = sarga_11 verse 65 pāda 1,
New recording 749.m4a,áribaārijad dhaja ka CRISA,sarga_11 v69 l2 (score 0.201),take 748 = sarga_11 verse 69 pāda 1,take 750 = sarga_11 verse 69 pāda 2,
New recording 754.m4a,Krute bhessa dai kya vada do osha lavam,sarga_11 v70 l2 (score 0.327),take 753 = sarga_11 verse 70 pāda 2,take 756 = sarga_11 verse 71 pāda 1,
New recording 755.m4a,Aadhi ka rinam guna vishe shavasad,sarga_11 v71 l1 (score 0.492),take 753 = sarga_11 verse 70 pāda 2,take 756 = sarga_11 verse 71 pāda 1,
New recording 758.m4a,ता राइश्चा तत्ता दूची ताई रूची राई,sarga_11 v71 l2 (score 0.409),take 757 = sarga_11 verse 71 pāda 2,take 761 = sarga_11 verse 72 pāda 2,
New recording 759.m4a,nava bhānu bhāha ka naka kānti param,sarga_11 v72 l1 (score 0.442),take 757 = sarga_11 verse 71 pāda 2,take 761 = sarga_11 verse 72 pāda 2,
New recording 760.m4a,وَرَحَارَحَارِ حَرِنِي لَهْرِتُ,,take 757 = sarga_11 verse 71 pāda 2,take 761 = sarga_11 verse 72 pāda 2,
New recording 762.m4a,sukhha bodha saura bha suru upa gunam,sarga_11 v72 l2 (score 0.281),take 761 = sarga_11 verse 72 pāda 2,take 764 = sarga_11 verse 73 pāda 1,
New recording 763.m4a,आश्चर्यर अतने श्वादे कम जगत्रये,sarga_11 v73 l1 (score 0.495),take 761 = sarga_11 verse 72 pāda 2,take 764 = sarga_11 verse 73 pāda 1,
New recording 766.m4a,Rūpam sadānanda yatiha mokṣinaha,sarga_11 v73 l2 (score 0.408),take 765 = sarga_11 verse 73 pāda 2,take 770 = sarga_11 verse 74 pāda 2,
New recording 767.m4a,,,take 765 = sarga_11 verse 73 pāda 2,take 770 = sarga_11 verse 74 pāda 2,
New recording 768.m4a,प्राग्या मद्येव प्रव्प्रोच्यते न्याई,sarga_11 v74 l1 (score 0.35),take 765 = sarga_11 verse 73 pāda 2,take 770 = sarga_11 verse 74 pāda 2,
New recording 769.m4a,Gīyate geyakīrte su gītaihi,sarga_11 v74 l2 (score 0.274),take 765 = sarga_11 verse 73 pāda 2,take 770 = sarga_11 verse 74 pāda 2,
New recording 772.m4a,अद्याश चर्यम चित्वाजाम अभूमि,sarga_11 v75 l1 (score 0.4),take 771 = sarga_11 verse 75 pāda 1,take 776 = sarga_11 verse 76 pāda 1,
New recording 773.m4a,Vaikunthe te shri vishesha jananaam,sarga_11 v75 l1 (score 0.302),take 771 = sarga_11 verse 75 pāda 1,take 776 = sarga_11 verse 76 pāda 1,
New recording 774.m4a,ḍkṭaṁ shlā ghe yukṭaṁ etādruṣatvam,sarga_15 v55 l1 (score 0.168),take 771 = sarga_11 verse 75 pāda 1,take 776 = sarga_11 verse 76 pāda 1,
New recording 775.m4a,yam-yam-sukhi ka maya-teertha matra,sarga_11 v76 l1 (score 0.492),take 771 = sarga_11 verse 75 pāda 1,take 776 = sarga_11 verse 76 pāda 1,
New recording 779.m4a,Mahānanda tirthasya e bhāshya bhāvam,sarga_11 v77 l1 (score 0.264),take 778 = sarga_11 verse 76 pāda 2,take 782 = sarga_11 verse 77 pāda 2,
New recording 780.m4a,Māno vāg bheera vartayante swashaktya,sarga_11 v77 l1 (score 0.389),take 778 = sarga_11 verse 76 pāda 2,take 782 = sarga_11 verse 77 pāda 2,
New recording 781.m4a,surādhyāna rāntā mukunda prasādāt,sarga_11 v77 l2 (score 0.328),take 778 = sarga_11 verse 76 pāda 2,take 782 = sarga_11 verse 77 pāda 2,
New recording 783.m4a,पारिव्रुद्हगन संगे राजसिम होर जशक्त्या,sarga_14 v1 l1 (score 0.415),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 784.m4a,Thiyajati malina bhāvam nīra sattvān nikāmam,sarga_14 v1 l1 (score 0.428),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 785.m4a,mushroom,sarga_15 v60 l1 (score 0.12),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 786.m4a,sujana jalaja kāntiyai vishvamāsīn manognyam,sarga_14 v1 l2 (score 0.298),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 787.m4a,krutam upakrutam āriyay kshamyatam kshānti bhūshay,sarga_4 v18 l1 (score 0.254),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 788.m4a,īti mūrdu vadatāṁ sam prārthāna bhif prabhūnāṁ,sarga_14 v2 l1 (score 0.273),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 789.m4a,āpā hūrtam āpāreṣāṁ mantra to grandhājātam,sarga_14 v2 l2 (score 0.36),take 782 = sarga_11 verse 77 pāda 2,take 790 = sarga_14 verse 2 pāda 2,
New recording 794.m4a,Kavikula tilakosa vāshisātosa yattam.,sarga_14 v3 l2 (score 0.484),take 793 = sarga_14 verse 3 pāda 2,take 796 = sarga_14 verse 4 pāda 1,
New recording 795.m4a,Upacharatinitāntam hantapaurandaridhu,sarga_14 v4 l1 (score 0.453),take 793 = sarga_14 verse 3 pāda 2,take 796 = sarga_14 verse 4 pāda 1,
New recording 20240119 092102.m4a,tadā tadā nānāṁ bhojād,sarga_6 v9 l2 (score 0.093),,,
New recording 20240119 092119.m4a,"sénā, sénā, grāha devv'yām",sarga_15 v54 l3 (score 0.151),,,
New recording 20240119 092127.m4a,शिबी राद इवन्यर या याउ,sarga_15 v3 l4 (score 0.487),,,
New recording 20240521 085309.m4a,"उ 매� स्रेखर भ्यूंणं, धोड मैं आरे,ऎव न वाश्ःब दो specialty do",sarga_1 v27 l1 (score 0.201),,,
New recording 20240521 085328.m4a,Innov purva ev erase evere dio nit Afghanistan travail  Sa D,sarga_1 v8 l2 (score 0.227),,,
New recording 20240521 085350.m4a,Agnina a rajim osht na wat boja ve va di ve di ve  I oshe so,sarga_12 v28 l4 (score 0.199),,,
New recording 20240521 085409.m4a,अब ने यए यग्यमद्धारम विष्ट्वतफ पर्पूरसी  सएद देवे शो वच्छती,sarga_10 v51 l2 (score 0.265),,,
New recording 20240521 085455.m4a,,,,,
New recording 20240521 085530.m4a,నినాస్,,,,
New recording 20240521 085551.m4a,ʰʰu ʰatwāq nē ʰe ʰe ʰe dōʸāwæ ʰe ʰe ʰi ʰi ʰe ʰa ʰajam nā mō ,sarga_10 v34 l3 (score 0.164),,,
New recording 20240521 085607.m4a,rājan tam dharānāṁ gopāṁ vratasyaṁ jīrīvim var dha mānam shv,sarga_9 v24 l4 (score 0.263),,,
New recording 20240521 085630.m4a,sanaak pite dhoy sunave tyre zupdenl bhaHH wow  sachaj swana,sarga_11 v36 l3 (score 0.2),,,
New recording 20240521 085645.m4a,वाया वाया हिद्रषते में सो मारंक्रता  तेशा आम पाश्र जियावं,sarga_10 v24 l1 (score 0.322),,,
New recording 20240521 085708.m4a,"वाया उते फिर जरन दे त्वा मच्छा जरिदा रा हा, सुतसो मा आहर भिद",sarga_14 v25 l3 (score 0.231),,,
New recording 20240521 085724.m4a,वाजो तब प्रप्रन्च्ती थे ना आजिगा तिदाशुफ्रे ए उरोची सोमा पीत,sarga_13 v18 l2 (score 0.192),,,
New recording 20240521 085740.m4a,ndra ba yo ʻi me sotha ʻo pa pra yo ʻo viragat ʻam ʻinda bo ,sarga_11 v8 l4 (score 0.26),,,
New recording 20240521 085812.m4a,वाया विंद्रस्चाते जेतदस्सुताना आम्वाजिनी वसु तावाया आतमोपद्र,sarga_2 v29 l2 (score 0.334),,,
New recording 20240521 085831.m4a,Vāyā vin rāst yasun vāta āyā ā tamu pāni skratam maksvi thād,sarga_12 v7 l2 (score 0.184),,,
New recording 20240521 085854.m4a,,,,,
New recording 20240521 090450.m4a,,,,,
New recording 20240521 090504.m4a,ي удар llĀ knees  marabinkling  a especial  yantrā  me  cant,sarga_10 v28 l3 (score 0.171),,,
New recording 20240521 090609.m4a,Ashwena jajwarhe jishodravatvane shubhaspati  Puro bhojata n,sarga_11 v7 l3 (score 0.202),,,
New recording 20240521 090633.m4a,"Ashvena purudam sasana rahsave e raya dhiyaa, dhivtnya vana ",sarga_10 v24 l1 (score 0.337),,,
New recording 20240521 090721.m4a,Dastrā āyuva kāvat sūtānā satyā vratabar shiṣā āyā ātam rudr,sarga_14 v45 l2 (score 0.244),,,
New recording 20240521 090900.m4a,ṣiṁrahāyānd bhārākṣitra bhāṇu  ṣuddhā īmehiṭh vāse bhāha  ṣi,sarga_14 v52 l1 (score 0.104),,,
New recording 20240521 090946.m4a,Indra ya ahi tu to ja na upav brahmhaa ne harivahaa sute da ,sarga_3 v11 l1 (score 0.245),,,
New recording 20240521 091027.m4a,,,,,
New recording 20240521 091101.m4a,विश्वे देवासो अब तुरस् सुतमागन ततूरना जहा उस्राए वस्वसारानी,sarga_11 v35 l1 (score 0.322),,,
New recording 20240521 091120.m4a,विश्वे देवासो आस्रे दये ही माया सो अग्रुवाहा मेधन जुशन्तबन्य,sarga_14 v17 l3 (score 0.247),,,
New recording 20240521 091137.m4a,,,,,
New recording 20240521 091152.m4a,Ṣodā yitre ṣundrṭā ānāṁ che dandhe sumati nāṁ yajñanda dhe s,sarga_9 v43 l1 (score 0.268),,,
New recording 20240521 091205.m4a,Maho ar nasa rasvati prache zajati ke tunaa dhijo vishvavira,sarga_1 v43 l2 (score 0.276),,,
New recording 20240521 091231.m4a,Surhwopakrt-moutréal  Aamiva god uncle  Jo momas hibjhiv,sarga_13 v48 l2 (score 0.18),,,
New recording 20240521 091319.m4a,उपन सवनागा ही सोमस्या सोमा पाष्पिबा  गोदा एंद्रेवा तोमडाहा,sarga_15 v54 l1 (score 0.253),,,
New recording 20240521 091333.m4a,Atha aate anta amanam vidyama sumati inam manu aadikhy aagah,sarga_5 v5 l2 (score 0.338),,,
New recording 20240521 091349.m4a,प्रेहिविद्ग्रमस्त्र तमिद्रम् प्रच्चाविपष्चिदम्  यस्ते सक्विभ,sarga_11 v7 l1 (score 0.344),,,
New recording 20240521 091402.m4a,ूtabhro vantu nouni doni ranyatashchidārata ddhāā na ṇāyindr,sarga_16 v55 l4 (score 0.255),,,
New recording 20240521 091429.m4a,ये वाशु माशवे भरयक निश्टियन रमादानम पतयन मन दयच्साखम,sarga_3 v4 l1 (score 0.387),,,
New recording 20240521 091445.m4a,aśyapit dvāshātak prato ghano vṛttrāṇāṁ bhavāḥ prabhavājēśu ,sarga_13 v54 l1 (score 0.14),,,
New recording 20240521 091500.m4a,तन्त्वाबाज एशुबाज नम्वाज यामश्षतक्रतो  दना नामिंद सादये,sarga_15 v85 l0 (score 0.32),,,
New recording 20240521 091518.m4a,yō rāyō ogan rāmānt supāraṣṭan vadastakā tashmā ṇḍrā āyāgāya,sarga_9 v55 l1 (score 0.203),,,
New recording 20240521 091534.m4a,आत्वे ता निशी इद तेंद्राम भिप्रगाये ता सखा आयस तो वामा भाह स,sarga_15 v34 l0 (score 0.26),,,
New recording 20240521 091548.m4a,पूरो तम पूरो ना मीशा आनाम भार या आनाम  इंद्रम सो में सचाचा स,sarga_9 v18 l3 (score 0.333),,,
New recording 20240521 091608.m4a,सगा आनो जोगा आपो बच्सराजे सपूरन्द्याम गमवद्वाजे भिरासना,sarga_15 v102 l2 (score 0.309),,,
New recording 20240521 091625.m4a,Yasyasam senavran vate hari samad suratra vaha tasma indra a,sarga_1 v19 l2 (score 0.328),,,
New recording 20240521 091653.m4a,Ṣūṭa pāwne Ṣūṭa ime Ṣūṭa yōyante pītā ye Ṣōmā sō dajjā Ṣirāh,sarga_16 v6 l2 (score 0.154),,,
New recording 20240521 091719.m4a,त्वं सुतस्या पीता जे ए सज्यो ब्रत्धो आजा जा ता  इंद्रजे इस्च,sarga_16 v9 l3 (score 0.24),,,
New recording 20240521 091738.m4a,आत्वा विशन्त्वाशा वस्सो मासा इंद्रते गिरा  शन्ते एशन्तु प्रज,sarga_16 v54 l1 (score 0.274),,,
New recording 20240521 091758.m4a,రిమి 2020 సఠిటం చఎనౚ కా�èleకసిది Tokra మి champ со ఠిటింటి మ,sarga_12 v40 l2 (score 0.341),,,
New recording 20240521 091907.m4a,Akshi totisane jimambha jamindrasahasrenam jasmin vishvani b,sarga_14 v22 l0 (score 0.294),,,
New recording 20240521 091941.m4a,बानो मरत्ता आविंद्रोहन्तनू ना आविंद्रगर्वना आविशानो यवयावदं,sarga_5 v7 l0 (score 0.336),,,
