priority,chandas,text_id,text,unit,count,duration_target,suggested_recording_type,reason
P0,स्रग्धरा,tirtha_prabandha:TP_DAK_018,पारावाराख्यरम्योपनिषदि विलसत्सेतवे सूत्रमात्रे / रामव्यासेन सेनानुगतिफलकृते दर्शिते रामभृत्यः / नानास्थानोपनीतैर्हनुमदभिनवश्रीमदानंदनीर्थ / स्तेनेऽमानाद्रिमानैस्तमिममतिदृढं रम्यमात्मीयगम्यम्,full śloka,3,≈28s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","4 recording(s) exist but the best one is not reference-grade: quality B, 48000 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,स्रग्धरा,tirtha_prabandha:TP_DAK_046,नानावृत्तं स्वयात्राक्रमपरिचितसुक्षेत्रमाहात्म्ययुक्तं / शब्दालंकारबद्धं शमलकुलहरश्लाघनीयार्थहृद्यम् / श्रीनाथप्रीतिहेतोर्हयवदनकृपांभोधिसंभूतरत्नं / चक्रे तीर्थप्रबंधं बहुगुणभरितं वादिराजो यतींद्रः,full śloka,3,≈28s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","4 recording(s) exist but the best one is not reference-grade: quality B, 48000 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,हरिणी,sumadhva_vijaya:sarga_10:56,इति विविध-गो-धारा-वारैर्विशारद-वारि-दो / हरि-पद-रतो विद्या-विद्युत्-प्रदीपित-दिङ्मुखः / भव-भय-महा-घर्म्मात्तप्तं सदङ्घ्रिप-मण्डलं / सफल-सुमनः सान्द्रानन्दं व्यधादविपल्लवम्,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","1 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P2,अन्यविधोद्गता,sumadhva_vijaya:sarga_10:53,अयमेव गो-विषयतोऽपि / सदसि जनतार्थितो जवात् / पुष्पमुत फलमो विदधे / जन-सुप्तिदानुपम-गान-सम्पदा,full śloka,2,≈14s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,इन्दुवदना,raghavendra_vijaya:sarga_5:12,इन्दुवदनाकलितमन्दहसनानां कुन्दरदनाहसितहंसगमनानाम् / कन्दुकसमाकृतिपयोधरयुगानां कन्तुनिजजङ्गमजयध्वजलतानाम्,full śloka,2,≈18s,"training (natural pārāyaṇa pace, full śloka, one take)",only 2 recording(s) across 2 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,इन्दुवदना,sumadhva_vijaya:sarga_10:10,वारयत-वारयत वैरि-सुहृदोऽमून् / मारयत-मारयत पार गमनात् प्राक् / आपतत आलपत इत्यवददुच्चैः / स त्वरक-राज-पुरुषानुचित-वाचा,full śloka,2,≈18s,"training (natural pārāyaṇa pace, full śloka, one take)",only 2 recording(s) across 2 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,"औपच्छन्दसिक, पुष्पिताग्रा",sumadhva_vijaya:sarga_10:55,इति भुवन-विभूषणस्य भूयां / स्यविगणितानि कृतान्तराणि हन्त / श्रवण-मनन-कीर्त्तनैरभीष्टं / प्रति-ददतीत्यमराः प्रकीर्त्तयन्ति,full śloka,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,क्रौञ्चपदा,kanduka_stuti:KNDS_C01_V01,अम्बरगङ्गाचुम्बितपादः पदतलविदलितगुरुतरशकटः / कालियनागक्ष्वेलनिहन्ता सरसिजनवदलविकसितनयनः,verse as written,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",no audio at all for this metre
P2,क्रौञ्चपदा,kanduka_stuti:KNDS_C01_V02,कालघनालीकर्बुरकायः शरशतशकलितरिपुशतनिवहः / सन्ततमस्मान् पातु मुरारिः सततगसमजवखगपतिनिरतः,verse as written,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",no audio at all for this metre
P2,तोटक,sumadhva_vijaya:sarga_10:45,जननं समये-समये जगतः / प्रथिते समये समयेदमिते / सनिरासमयेऽसमये स्थिति-युक् / स्ववभास-मयेऽसमयेष्ट-धिया,full śloka,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",only 3 recording(s) across 3 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,तोटक,sumadhva_vijaya:sarga_10:7,यमशेष-भव-प्रभवः स्मरता / मसुखाब्धिरपैति न चित्रमिदम् / मरुतीदृशि भान्ति हि यत्-स्तवने / यम-शेष-भव-प्रभवः स्म रताः,full śloka,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",only 3 recording(s) across 3 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,दोधक,dvadasha_stotra:DDS_C06_V02,सूकररूपक दानवशत्रो भूमिविधारक यज्ञवराङ्ग / देव नृसिंह हिरण्यकशत्रो सर्वभयान्तक दैवतबन्धो,full śloka,2,≈15s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,दोधक,sumadhva_vijaya:sarga_10:16,अप्लव देव नदी-तरणं ते / हन्त कथं च चिकीर्षसि किं त्वम् / तं निगदन्तमिति प्रभृतीह / स्माह महा-पुरुषोत्तम-दासः,full śloka,2,≈15s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,मणिमाला,sumadhva_vijaya:sarga_10:21,अन्यत्र च चोरान् धन्य-प्रवरोऽसौ / शूरान् शत-सङ्ख्यान् प्राप्तान् स्व-जिघांसून् / एकेन तु शिष्येणाऽकृष्ट-कुठारान् / निस्ताडित-यूध्यानद्रावयत द्राक्,full śloka,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,माणवक,sumadhva_vijaya:sarga_10:24,प्राप स नारायणतः / शुद्ध-शिलात्म-प्रतिमाः / यासु स पद्मा-सहितो / दोष्यहितः सन्निहितः,full śloka,2,≈11s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,रुचिरा,sumadhva_vijaya:sarga_10:51,अवाप्तवान् पुनरिषु-पातमस्मरद् / रमा-पतिं स परशु-राममादरात् / स-राजकेळ्युरु-कदळी-सहस्रकं / तदाऽऽददत्त्यवसिति-दत्तमुत्तमम्,full śloka,2,≈17s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,वसन्तमालिका,sumadhva_vijaya:sarga_10:4,क्वचिदीश्वर-देवमेष भूपं / खननं पान्थ-जनं विधापयन्तम् / स्वमपि प्रति-चोदयन्तमूचे / क्रियया नोऽकुशलान् प्रबोधयेति,full śloka,2,≈15s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,वातोर्मी,sumadhva_vijaya:sarga_10:25,पाराशर्य्यः पर-तत्त्व-प्रसिद्ध्यै / तात्पर्य्यार्थं परमं भारतस्य / व्यक्तं वक्तुं नियुनक्ति स्म साक्षाद् / एनं धन्यं भुवने मन्यमानः,full śloka,2,≈15s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,विद्युन्माला,sumadhva_vijaya:sarga_10:23,सत्योच्छेदे सेच्छापातं / व्याघ्राकारं दैत्य-व्याघ्रम् / प्राळेयाद्रेः प्रान्ते प्राज्ञः / पाणेर्लीला-लेशेनाऽस्यत्,full śloka,2,≈11s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,"वियोगिनी, वैतालीय, सुन्दरी",sumadhva_vijaya:sarga_10:3,भुवनाद्भुत-मध्व-चेष्टितं / न वदेमापि सुरायुषा वयम् / सकलं खलु किन्तु किञ्चिद / प्यथ शुश्रूषु-जनाय वर्ण्यते,full śloka,2,≈14s,"training (natural pārāyaṇa pace, full śloka, one take)",only 2 recording(s) across 2 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,"वियोगिनी, वैतालीय, सुन्दरी",sumadhva_vijaya:sarga_14:54,मृदुगामि-विमान-सम्पदो / रमयत् सुस्मित-गोप-सुन्दरीः / परिताप-विहीनमुज्ज्वलं / सु-ततं सूक्ष्मतराम्बरं वरम्,full śloka,2,≈14s,"training (natural pārāyaṇa pace, full śloka, one take)",only 2 recording(s) across 2 text(s); training-grade coverage wants ≥10 across ≥3 texts
P2,स्रग्विणी,sumadhva_vijaya:sarga_10:8,सञ्चरन्नञ्चनीयः कदाचिद् विभु / र्विष्णुपद्यास्तटं वैष्णवाग्रेसरः / प्रापदाप्तैर्निजैरेष शिष्यैर्वृत / स्त्यक्त-विश्व-प्लवं शात्रवातङ्कतः,full śloka,2,≈16s,"training (natural pārāyaṇa pace, full śloka, one take)",only 1 recording(s) across 1 text(s); training-grade coverage wants ≥10 across ≥3 texts
P3,अतिरेखा,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अतिशायिनी,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अद्रितनया,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अनवसिता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अनुष्टुभ्,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अपरवक्त्र,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अपराजिता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,अपवाह,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,असम्बाधा,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,आर्या - विपुला,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उज्ज्वला,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उद्गता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उद्गीति,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपचित्र,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपचित्र,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (आर्द्रा),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (ऋद्धि),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (कीर्ति),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (जाया),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (प्रेमा),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (बाला),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (भद्रा),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (माया),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (माला),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (रामा),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा १),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा १०),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ११),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा १२),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा १३),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा १४),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा २),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ३),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ४),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ५),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ६),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ७),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ८),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वंशस्थ-इन्द्रवंशा ९),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (वाणी),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा १),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा १०),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ११),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा १२),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा १३),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा १४),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा २),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ३),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ४),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ५),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ६),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ७),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ८),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शार्दूलविक्रीडित-स्रग्धरा ९),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (शाला),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (सिद्धि/बुद्धि),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपजाति (हंसी),—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपमालिनी,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपस्थित,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,उपस्थिता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,ऋषभ,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,ऋषभगजविलसित,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,एला,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,औपच्छन्दसिक,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कन्या,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कलहंस,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कामक्रीडा,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुटजगति,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुटिल,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुपुरुषजनिता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुमारललिता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुमारी,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुसुममालिका,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुसुमविचित्रा,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
P3,कुसुमितलतावेल्लिता,—,—,—,0,—,none yet — provide text first,no text of this metre in the indexed DGE works; a text must be added to DGE before any recording
