id,audio,text_id,text,normalized_text,phonetic_key,work,section,chapter,verse_id,part,chandas,chandas_engine_verdict,chandas_confidence,pada_count,syllable_count,laghu_guru,gana,yati,speaker,duration_seconds,sample_rate,channels,bit_depth,codec,audio_quality,qc_flags,snr_db_est,mapping_confidence,mapping_signal,duration_check,review_status,review_reason
km_216f2f572b42,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS9.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:9,"त्रस्तोऽस्म्यहं कृपणवत्सल दुःसहोग्र
संसारचक्रकदनात् कृशतां प्रणीतः
बद्धः स्वकर्मभिरुशत्तम तेऽङ्गिमूलं
भीतापवर्गमरणं समियां कदा नु",trasto'smyahaM kfpaRavatsala duHsahogra saMsAracakrakadanAt kfSatAM praRItaH badDaH svakarmaBiruSattama te'NgimUlaM BItApavargamaraRaM samiyAM kadA nu,trastosnyahan krpanavatsala dusahogra sansaracakrakadanat krsatan pranita badDa svakarnaBirusatana tenginulan Bitapavarganaranan saniyan kada nu,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,9,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGL|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGL,तभजजगल|तभजजगग|तभजजगग|तभजजगल,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),18.048,44100,2,32,mp3 (mp3float),A,[],27.6,1.0,dge_linked,plausible,auto_accepted,
km_b3c88fcb2b51,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.01.mp3,raghavendra_vijaya:sarga_1:1,"श्रीमल्लक्ष्मीनृसिंहस्य श्रियं दिशतु मे नखः
स्वभक्ताभीष्टदानाय समुपात्तदशाकृतेः",SrImallakzmInfsiMhasya SriyaM diSatu me naKaH svaBaktABIzwadAnAya samupAttadaSAkfteH,srinalaksninrsinhasya sriyan disatu ne naKa svaBaktaBiswadanaya sanupatadasakrte,raghavendra_vijaya,sarga_1,1,1,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,GGGGLGGG|LGLLLGLG|LGGGLGGL|LLGLLGLG,मरगग|जसलग|यरगल|ससलग,[],dge_linked:raghavendra_vijaya (unattributed),17.304,48000,2,32,mp3 (mp3float),D,"[""clipping""]",18.2,1.0,dge_linked,plausible,auto_accepted,
km_dcb0b8ec19ac,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.02.mp3,raghavendra_vijaya:sarga_1:2,"वस्तु स्तुतं सुरस्तोमैरस्तु शस्तं मया स्तुतम्
मस्तुहस्तं प्रस्तुताय श्रुतिमस्तकविश्रुतम्",vastu stutaM surastomErastu SastaM mayA stutam mastuhastaM prastutAya SrutimastakaviSrutam,vastu stutan surastonErastu sastan naya stutan nastuhastan prastutaya srutinastakavisrutan,raghavendra_vijaya,sarga_1,1,2,full,अनुष्टुप् (vipulā/irregular — unverified),,0.6,4,32,GGLGLGGG|GLGGLGLG|GLGGGLGG|LLGLLGLG,तरगग|ररलग|रतगग|ससलग,[],dge_linked:raghavendra_vijaya (unattributed),17.52,48000,2,32,mp3 (mp3float),D,"[""clipping""]",24.3,1.0,dge_linked,plausible,auto_accepted,
km_1cb5e305c1ef,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.03.mp3,raghavendra_vijaya:sarga_1:3,"श्रीमदानन्दतीर्थेन्दुभासनं मम मानसे
आशासे साधुशब्दार्थसरिदीशाभिवृद्धये",SrImadAnandatIrTenduBAsanaM mama mAnase ASAse sADuSabdArTasaridISABivfdDaye,srinadanandatirTenduBasanan nana nanase asase saDusabdarTasaridisaBivrdDaye,raghavendra_vijaya,sarga_1,1,3,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,GLGGLGGL|GLGLLGLG|GGGGLGGL|LLGGLGLG,ररगल|रसलग|मरगल|सरलग,[],dge_linked:raghavendra_vijaya (unattributed),16.944,48000,2,32,mp3 (mp3float),D,"[""clipping""]",19.5,1.0,dge_linked,plausible,auto_accepted,
km_f32020b11f95,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.04.mp3,raghavendra_vijaya:sarga_1:4,"श्रीराघवेन्द्ररत्नानां रसनारङ्गनर्तकी
शब्दाम्बुधिशरज्ज्योत्स्ना शरणं मम शारदा",SrIrAGavendraratnAnAM rasanAraNganartakI SabdAmbuDiSarajjyotsnA SaraRaM mama SAradA,sriraGavendraratnanan rasanaranganartaki sabdanbuDisarajyotsna saranan nana sarada,raghavendra_vijaya,sarga_1,1,4,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,GGLGLGGG|LLGGLGLG|GGLLLGGG|LLGLLGLG,तरगग|सरलग|तसगग|ससलग,[],dge_linked:raghavendra_vijaya (unattributed),17.088,48000,2,32,mp3 (mp3float),D,"[""clipping""]",19.4,1.0,dge_linked,plausible,auto_accepted,
km_c6efaf76ffe9,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.05.mp3,raghavendra_vijaya:sarga_1:5,"कठिनापि कविश्लाघ्या त्रिविक्रमसरस्वती
सुवर्णयोगसन्दृश्या वरा वज्रमणिर्यथा",kaWinApi kaviSlAGyA trivikramasarasvatI suvarRayogasandfSyA varA vajramaRiryaTA,kaWinapi kavislaGya trivikranasarasvati suvarnayogasandrsya vara vajrananiryaTa,raghavendra_vijaya,sarga_1,1,5,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,LLGLLGGG|LGLLLGLG|LGLGLGGG|LGGLLGLG,ससगग|जसलग|जरगग|यसलग,[],dge_linked:raghavendra_vijaya (unattributed),16.728,48000,2,32,mp3 (mp3float),D,"[""clipping""]",24.2,1.0,dge_linked,plausible,auto_accepted,
km_19539e49095d,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.06.mp3,raghavendra_vijaya:sarga_1:6,"वाणी पाणितलासक्तवीणारवविडम्बिनी
नानाप्रबन्धचतुरा भाति नारायणार्यगीः",vARI pARitalAsaktavIRAravaviqambinI nAnAprabanDacaturA BAti nArAyaRAryagIH,vani panitalasaktavinaravaviqanbini nanaprabanDacatura Bati narayanaryagi,raghavendra_vijaya,sarga_1,1,6,full,अनुष्टुप् (vipulā/irregular — unverified),,0.6,4,32,GGGLLGGL|GGLLLGLG|GGLGLLLG|GLGGLGLG,मसगल|तसलग|तभलग|ररलग,[],dge_linked:raghavendra_vijaya (unattributed),17.496,48000,2,32,mp3 (mp3float),D,"[""clipping""]",22.9,1.0,dge_linked,plausible,auto_accepted,
km_a8e699d12f3c,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.07.mp3,raghavendra_vijaya:sarga_1:7,"वृन्दारवनमन्दारमकरन्दसहोदरी
विश्रुता विजयं दद्याद्व्यासतीर्थार्यभारती",vfndAravanamandAramakarandasahodarI viSrutA vijayaM dadyAdvyAsatIrTAryaBAratI,vrndaravananandaranakarandasahodari visruta vijayan dadyadvyasatirTaryaBarati,raghavendra_vijaya,sarga_1,1,7,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,GGLLLGGL|LLGLLGLG|GLGLLGGG|GLGGLGLG,तसगल|ससलग|रसगग|ररलग,[],dge_linked:raghavendra_vijaya (unattributed),17.16,48000,2,32,mp3 (mp3float),D,"[""clipping""]",19.3,1.0,dge_linked,plausible,auto_accepted,
km_a6edba75faf9,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.08.mp3,raghavendra_vijaya:sarga_1:8,"व्याससूत्रपदार्थोपन्यासमाकर्ण्य मान्यपि
व्यासराजस्य भजते दासतां को न कोविदः",vyAsasUtrapadArTopanyAsamAkarRya mAnyapi vyAsarAjasya Bajate dAsatAM ko na kovidaH,vyasasutrapadarTopanyasanakarnya nanyapi vyasarajasya Bajate dasatan ko na kovida,raghavendra_vijaya,sarga_1,1,8,full,अनुष्टुप् (vipulā/irregular — unverified),,0.6,4,32,GLGLLGGG|GLGGLGLL|GLGGLLLG|GLGGLGLG,रसगग|ररलल|रभलग|ररलग,[],dge_linked:raghavendra_vijaya (unattributed),16.968,48000,2,32,mp3 (mp3float),D,"[""clipping""]",20.1,1.0,dge_linked,plausible,auto_accepted,
km_13e31c51d190,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.09.mp3,raghavendra_vijaya:sarga_1:9,"चतुःषष्टिकलाविद्याजुषे विद्वन्महोजुषे
जयीन्द्रज्योतिषे कुर्या वन्दनानि यशोमुषे",catuHzazwikalAvidyAjuze vidvanmahojuze jayIndrajyotize kuryA vandanAni yaSomuze,catusaswikalavidyajuse vidvanahojuse jayindrajyotise kurya vandanani yasonuse,raghavendra_vijaya,sarga_1,1,9,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,LGGLLGGG|LGGGLGLG|LGGGLGGG|GLGLLGLG,यसगग|यरलग|यरगग|रसलग,[],dge_linked:raghavendra_vijaya (unattributed),16.728,48000,2,32,mp3 (mp3float),D,"[""clipping""]",18.9,1.0,dge_linked,plausible,auto_accepted,
km_1b2eade2a271,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.10.mp3,raghavendra_vijaya:sarga_1:10,"सुधीन्द्रयोगिनं सेवे साधुसत्कृतसंपदम्
स गद्यपद्यनिर्माणविद्यायाः प्रथमं पदम्",suDIndrayoginaM seve sADusatkftasaMpadam sa gadyapadyanirmARavidyAyAH praTamaM padam,suDindrayoginan seve saDusatkrtasanpadan sa gadyapadyanirnanavidyaya praTanan padan,raghavendra_vijaya,sarga_1,1,10,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,LGLGLGGG|GLGLLGLG|LGLGLGGL|GGGLLGLG,जरगग|रसलग|जरगल|मसलग,[],dge_linked:raghavendra_vijaya (unattributed),17.52,48000,2,32,mp3 (mp3float),D,"[""clipping""]",18.9,1.0,dge_linked,plausible,auto_accepted,
km_ec6cecaf19ee,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.11.mp3,raghavendra_vijaya:sarga_1:11,"श्रीमतो राघवेन्द्रस्य नमामि पदपङ्कजे
कामिताशेषकल्याणकलनाकल्पपादपौ",SrImato rAGavendrasya namAmi padapaNkaje kAmitASezakalyARakalanAkalpapAdapO,srinato raGavendrasya nanani padapankaje kanitasesakalyanakalanakalpapadapO,raghavendra_vijaya,sarga_1,1,11,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,GLGGLGGL|LGLLLGLG|GLGGLGGL|LLGGLGLG,ररगल|जसलग|ररगल|सरलग,[],dge_linked:raghavendra_vijaya (unattributed),17.472,48000,2,32,mp3 (mp3float),D,"[""clipping""]",22.8,1.0,dge_linked,plausible,auto_accepted,
km_9b1d88b74c7e,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.12.mp3,raghavendra_vijaya:sarga_1:12,"मुहुः स्मारितवाल्मीकिं पुनस्तं नौमि दैशिकम्
यो विस्तीर्णां रामकथां स्रग्धराभिः समग्रहीत्",muhuH smAritavAlmIkiM punastaM nOmi dESikam yo vistIrRAM rAmakaTAM sragDarABiH samagrahIt,nuhu snaritavalnikin punastan nOni dEsikan yo vistirnan ranakaTan sragDaraBi sanagrahit,raghavendra_vijaya,sarga_1,1,12,full,अनुष्टुप् (vipulā/irregular — unverified),,0.6,4,32,LGGLLGGG|LGGGLGLG|GGGGGLLG|GLGGLGLG,यसगग|यरलग|मतलग|ररलग,[],dge_linked:raghavendra_vijaya (unattributed),17.208,48000,2,32,mp3 (mp3float),D,"[""clipping""]",19.9,1.0,dge_linked,plausible,auto_accepted,
km_7b9e5653f4a7,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.13.mp3,raghavendra_vijaya:sarga_1:13,"मूकोऽपि यत्प्रसादेन मुकुन्दशयनायते
राजराजायते रिक्तो राघवेन्द्रं तमाश्रये",mUko'pi yatprasAdena mukundaSayanAyate rAjarAjAyate rikto rAGavendraM tamASraye,nukopi yatprasadena nukundasayanayate rajarajayate rikto raGavendran tanasraye,raghavendra_vijaya,sarga_1,1,13,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,GGLGLGGL|LGLLLGLG|GLGGLGGG|GLGGLGLG,तरगल|जसलग|ररगग|ररलग,[],dge_linked:raghavendra_vijaya (unattributed),17.328,48000,2,32,mp3 (mp3float),B,"[""hot_peaks""]",23.9,1.0,dge_linked,plausible,auto_accepted,
km_ed88f4a77447,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.14.mp3,raghavendra_vijaya:sarga_1:14,"प्रसाद्य नरपञ्चास्यं प्राप्तं वैदुष्यमद्भुतम्
येन लक्ष्मीनृसिंहेन तातपादं तमाश्रये",prasAdya narapaYcAsyaM prAptaM vEduzyamadButam yena lakzmInfsiMhena tAtapAdaM tamASraye,prasadya narapancasyan praptan vEdusyanadButan yena laksninrsinhena tatapadan tanasraye,raghavendra_vijaya,sarga_1,1,14,full,अनुष्टुप्,अनुष्टुप् (श्लोकः) — पथ्या,1.0,4,32,LGLLLGGG|GGGGLGLG|GLGGLGGL|GLGGLGLG,जसगग|मरलग|ररगल|ररलग,[],dge_linked:raghavendra_vijaya (unattributed),17.184,48000,2,32,mp3 (mp3float),D,"[""clipping""]",19.6,1.0,dge_linked,plausible,auto_accepted,
km_c748a4499854,kamadhenu_dataset/incoming_audio/dge_linked/raghavendra_vijaya/rv01.15.mp3,raghavendra_vijaya:sarga_1:15,"प्राप्तान्यनुतिपापौघरसनां पावयाम्यहम्
गुर्वन्तर्यामिभगवत्स्तुतिगङ्गाम्बुमज्जनात्",prAptAnyanutipApOGarasanAM pAvayAmyaham gurvantaryAmiBagavatstutigaNgAmbumajjanAt,praptanyanutipapOGarasanan pavayanyahan gurvantaryaniBagavatstutiganganbunajanat,raghavendra_vijaya,sarga_1,1,15,full,अनुष्टुप् (vipulā/irregular — unverified),,0.6,4,32,GGLLLGGL|LLGGLGLG|GGGGLLLG|LLGGLGLG,तसगल|सरलग|मभलग|सरलग,[],dge_linked:raghavendra_vijaya (unattributed),17.184,48000,2,32,mp3 (mp3float),D,"[""clipping""]",22.1,1.0,dge_linked,plausible,auto_accepted,
